,city,country,lat,lng,max temp,cloudiness,humidity,wind speed
0,tutoia,BR,-2.76,-2.76,78.22,99,82,6.22
1,neka,IR,36.65,36.65,33.8,97,100,4.7
2,bintulu,MY,3.17,3.17,75.07,90,100,3.36
3,rikitea,PF,-23.12,-23.12,72.81,82,70,12.91
4,busselton,AU,-33.64,-33.64,67.68,0,52,1.99
5,yulara,AU,-25.24,-25.24,82.4,100,37,14.99
6,kolondieba,ML,11.09,11.09,76.66,0,29,2.71
7,hermanus,ZA,-34.42,-34.42,59.0,0,86,2.08
8,kapaa,US,22.08,22.08,82.9,1,69,5.82
9,ushuaia,AR,-54.81,-54.81,46.4,90,87,14.99
10,sao miguel do araguaia,BR,-13.28,-13.28,76.28,23,78,3.98
11,barrow,AR,-38.31,-38.31,59.65,91,88,5.41
12,bredasdorp,ZA,-34.53,-34.53,57.2,0,82,6.93
13,tasiilaq,GL,65.61,65.61,30.2,0,54,2.24
14,maldonado,UY,-34.91,-34.91,64.4,75,82,17.22
15,anadyr,RU,64.73,64.73,30.2,75,86,40.26
16,igarka,RU,67.47,67.47,2.41,100,95,15.28
17,hobart,AU,-42.88,-42.88,56.05,40,62,14.99
18,castro,CL,-42.48,-42.48,48.2,20,76,3.36
19,mopipi,BW,-21.2,-21.2,84.76,51,32,10.69
20,bluff,AU,-23.58,-23.58,83.48,22,44,8.86
21,lokosovo,RU,61.13,61.13,2.07,86,95,8.63
22,mezhdurechensk,RU,53.69,53.69,5.36,47,89,2.28
23,vestmanna,FO,62.16,62.16,48.2,100,81,16.11
24,cherskiy,RU,68.75,68.75,-8.23,100,91,9.1
25,mataura,NZ,-46.19,-46.19,72.88,58,51,13.15
26,albany,US,42.65,42.65,35.76,75,80,4.05
27,grand gaube,MU,-20.01,-20.01,76.55,40,94,6.93
28,kisangani,CD,0.52,0.52,69.12,28,93,1.1
29,victoria,BN,5.28,5.28,79.45,75,74,3.36
30,conceicao do araguaia,BR,-8.26,-8.26,80.74,12,70,0.94
31,trairi,BR,-3.28,-3.28,74.82,16,87,3.4
32,fairbanks,US,64.84,64.84,10.29,90,92,2.17
33,cilegon,ID,-6.02,-6.02,82.35,40,83,2.24
34,general roca,AR,-39.03,-39.03,62.6,54,27,19.46
35,carnarvon,ZA,-30.97,-30.97,61.65,0,19,10.89
36,yellowknife,CA,62.45,62.45,1.44,40,84,6.93
37,longyearbyen,NO,78.22,78.22,12.2,75,66,17.22
38,kirakira,SB,-10.46,-10.46,81.36,25,76,6.06
39,avarua,CK,-21.21,-21.21,71.6,100,94,11.41
40,ponta do sol,BR,-20.63,-20.63,66.52,74,93,4.9
41,bud,NO,62.91,62.91,36.59,100,80,6.93
42,bathsheba,BB,13.22,13.22,80.6,20,88,13.87
43,vestmannaeyjar,IS,63.44,63.44,39.36,0,67,7.87
44,sindor,RU,62.87,62.87,12.34,99,92,6.8
45,pelym,RU,61.01,61.01,5.61,32,93,4.52
46,kattivakkam,IN,13.22,13.22,75.27,40,94,3.36
47,pingliang,CN,35.54,35.54,24.87,59,91,0.89
48,butaritari,KI,3.07,3.07,84.31,99,71,5.68
49,jamestown,AU,-33.21,-33.21,58.8,16,35,13.73
50,vaini,IN,15.34,15.34,66.2,23,93,6.93
51,lompoc,US,34.64,34.64,64.06,90,63,16.11
52,quelimane,MZ,-17.88,-17.88,80.6,40,94,5.82
53,norman wells,CA,65.28,65.28,10.4,90,85,13.87
54,alyangula,AU,-13.85,-13.85,86.0,40,70,8.05
55,provideniya,RU,64.42,64.42,32.0,90,98,29.08
56,aurdal,NO,60.92,60.92,28.0,92,95,1.7
57,sioux lookout,CA,50.1,50.1,23.0,90,85,5.82
58,gari,RU,59.43,59.43,6.62,75,96,8.41
59,kodiak,US,39.95,39.95,44.26,1,52,10.29
60,ribeira grande,PT,38.52,38.52,62.13,51,80,19.48
61,sitka,US,37.17,37.17,42.01,5,56,8.66
62,deputatskiy,RU,69.3,69.3,-33.18,2,96,3.18
63,finote selam,ET,10.7,10.7,56.16,44,87,3.11
64,alofi,NU,-19.06,-19.06,80.6,75,74,5.82
65,khatanga,RU,71.98,71.98,-2.97,100,98,6.87
66,nanortalik,GL,60.14,60.14,33.96,0,45,5.84
67,lagoa,PT,37.14,37.14,60.94,90,100,2.24
68,ranchuelo,CU,22.38,22.38,74.3,46,83,5.82
69,jalu,LY,29.03,29.03,54.41,0,34,6.76
70,banda aceh,ID,5.56,5.56,74.41,98,91,3.87
71,hasaki,JP,35.73,35.73,46.13,75,81,12.75
72,syntul,RU,55.0,55.0,20.86,77,39,6.29
73,mto wa mbu,TZ,-3.38,-3.38,68.7,100,81,3.83
74,suleja,NG,9.18,9.18,75.2,11,94,2.24
75,punta arenas,CL,-53.16,-53.16,46.18,90,87,9.17
76,new norfolk,AU,-42.78,-42.78,56.05,40,62,14.99
77,talnakh,RU,69.49,69.49,5.0,75,84,29.08
78,poum,MK,41.28,41.28,43.41,100,89,1.5
79,ugoofaaru,MV,5.67,5.67,83.28,64,79,18.57
80,plettenberg bay,ZA,-34.05,-34.05,60.91,78,77,6.42
81,dong xoai,VN,11.53,11.53,71.56,100,92,4.03
82,chokurdakh,RU,70.62,70.62,-31.94,100,99,6.38
83,puerto ayora,EC,-0.74,-0.74,73.22,20,64,14.99
84,saldanha,PT,41.42,41.42,48.15,100,96,6.78
85,clyde river,CA,70.47,70.47,15.8,90,100,6.93
86,georgetown,GY,6.8,6.8,80.47,40,83,6.93
87,golden,US,39.76,39.76,29.79,90,100,6.93
88,atuona,PF,-9.8,-9.8,79.99,1,73,14.97
89,fort saint james,CA,54.43,54.43,26.35,0,73,2.59
90,den helder,NL,52.96,52.96,44.89,90,93,10.29
91,codrington,AU,-28.95,-28.95,87.13,0,35,12.75
92,takoradi,GH,4.89,4.89,80.44,56,82,6.24
93,saint-philippe,CA,45.36,45.36,36.57,40,89,3.36
94,bethel,US,60.79,60.79,27.48,90,86,17.22
95,chuy,UY,-33.69,-33.69,65.77,100,72,18.59
96,qaanaaq,GL,77.48,77.48,13.75,100,96,2.62
97,port alfred,ZA,-33.59,-33.59,63.0,58,86,1.99
98,hithadhoo,MV,-0.6,-0.6,82.83,71,81,15.97
99,saint-georges,CA,46.12,46.12,32.72,100,100,5.99
100,arraial do cabo,BR,-22.97,-22.97,70.41,4,62,9.42
101,bombarral,PT,39.27,39.27,61.95,75,100,12.75
102,airai,TL,-8.93,-8.93,79.41,11,44,4.7
103,kalanguy,RU,51.01,51.01,0.03,99,94,6.4
104,weligama,LK,5.97,5.97,73.85,18,90,6.76
105,port lincoln,AU,-34.72,-34.72,59.56,24,46,10.29
106,mnogovershinnyy,RU,53.94,53.94,4.35,67,82,19.42
107,moron,HT,18.56,18.56,78.85,84,79,13.73
108,lucero,PH,11.45,11.45,77.14,100,90,9.01
109,torbay,CA,47.66,47.66,41.31,90,100,4.7
110,elmshorn,DE,53.75,53.75,40.84,90,93,9.17
111,nome,US,30.04,30.04,69.69,90,88,6.93
112,port elizabeth,US,39.31,39.31,43.79,1,80,5.14
113,gat,SN,14.69,14.69,75.92,0,47,2.24
114,kruisfontein,ZA,-34.0,-34.0,55.94,37,92,8.34
115,nantucket,US,41.28,41.28,45.77,75,75,6.93
116,sao joao do piaui,BR,-8.36,-8.36,81.5,83,61,2.24
117,barcelos,BR,-0.97,-0.97,76.93,82,93,1.43
118,bucerias,MX,20.76,20.76,82.2,90,74,8.05
119,qaqortoq,GL,60.72,60.72,21.2,0,57,5.82
120,port hedland,AU,-20.31,-20.31,86.0,40,70,5.82
121,biltine,TD,14.53,14.53,73.81,3,15,14.81
122,hilo,US,19.71,19.71,77.04,75,65,12.75
123,cape town,ZA,-33.93,-33.93,59.16,0,87,6.93
124,tuktoyaktuk,CA,69.44,69.44,1.4,40,77,13.87
125,grand-santi,GF,4.27,4.27,73.83,87,96,1.7
126,xining,CN,36.62,36.62,20.39,33,72,1.39
127,bambous virieux,MU,-20.34,-20.34,76.44,40,94,6.93
128,rio grande,BR,-32.03,-32.03,68.0,84,76,5.01
129,smithers,CA,54.78,54.78,26.6,75,100,2.37
130,saint anthony,US,43.97,43.97,28.49,40,40,6.93
131,moerai,PF,-22.43,-22.43,76.69,100,86,4.56
132,rawson,AR,-43.3,-43.3,60.51,8,60,13.09
133,teya,MX,21.05,21.05,80.55,20,69,3.36
134,alice,ZA,-32.79,-32.79,54.79,30,66,6.08
135,luderitz,NA,-26.65,-26.65,65.93,0,61,17.81
136,coyaima,CO,3.8,3.8,77.0,40,83,5.82
137,viedma,AR,-40.81,-40.81,65.75,95,40,13.58
138,mayo,CA,63.59,63.59,17.6,90,92,4.7
139,mahebourg,MU,-20.41,-20.41,76.42,40,94,6.93
140,najran,SA,17.54,17.54,69.8,62,46,6.67
141,meulaboh,ID,4.14,4.14,79.61,87,81,5.14
142,wenling,CN,28.38,28.38,54.59,44,74,9.42
143,chenghai,CN,23.46,23.46,68.0,87,64,6.71
144,namibe,AO,-15.19,-15.19,72.05,70,79,4.99
145,susanville,US,40.42,40.42,35.33,1,38,14.99
146,avera,US,33.19,33.19,47.97,1,93,3.36
147,hambantota,LK,6.12,6.12,80.56,48,80,20.65
148,itarema,BR,-2.92,-2.92,77.83,19,80,8.43
149,tautira,PF,-17.73,-17.73,87.39,40,66,14.99
150,mahwa,IN,27.05,27.05,65.39,0,65,4.03
151,guanica,PR,17.97,17.97,78.98,75,57,6.93
152,mabaruma,GY,8.2,8.2,75.13,100,98,2.8
153,mandalgovi,MN,45.76,45.76,7.18,15,61,12.26
154,kununurra,AU,-15.77,-15.77,87.8,35,52,4.7
155,shaunavon,CA,49.65,49.65,24.15,53,88,10.42
156,hamilton,CA,43.26,43.26,41.09,90,93,6.93
157,mar del plata,AR,-46.43,-46.43,64.76,36,25,21.99
158,teguldet,RU,57.31,57.31,-0.4,72,98,4.0
159,camacupa,AO,-12.02,-12.02,63.77,100,95,3.71
160,dunedin,NZ,-45.87,-45.87,64.0,27,65,14.0
161,pangody,RU,65.85,65.85,8.22,99,92,17.0
162,isangel,VU,-19.55,-19.55,84.2,75,54,9.17
163,richards bay,ZA,-28.77,-28.77,70.88,0,78,4.76
164,pisco,PE,-13.71,-13.71,68.52,4,77,21.92
165,prince rupert,CA,54.32,54.32,35.6,90,93,5.82
166,sembakung,ID,3.82,3.82,80.55,5,77,3.09
167,naze,NG,5.43,5.43,78.8,75,88,3.36
168,belmonte,PT,40.36,40.36,46.0,100,99,28.01
169,itaberai,BR,-16.02,-16.02,71.96,100,87,3.87
170,danilovka,RU,50.35,50.35,15.21,0,65,7.56
171,cayenne,GF,4.94,4.94,78.8,29,94,5.59
172,mizdah,LY,31.45,31.45,48.0,21,52,11.36
173,kimbe,PG,-5.56,-5.56,87.19,86,52,5.66
174,noumea,NC,-22.28,-22.28,87.8,73,45,11.41
175,camargo,MX,27.69,27.69,68.25,96,30,7.9
176,vanavara,RU,60.35,60.35,-4.95,100,96,8.01
177,morant bay,JM,17.88,17.88,78.46,20,65,13.87
178,lorengau,PG,-2.02,-2.02,83.48,79,74,15.41
179,dubno,UA,50.42,50.42,35.01,100,92,7.38
180,otjimbingwe,NA,-22.35,-22.35,73.0,77,33,0.09
181,ucluelet,CA,48.94,48.94,40.8,75,81,10.29
182,manicore,BR,-5.81,-5.81,81.3,38,66,1.5
183,lucapa,AO,-8.42,-8.42,66.06,100,96,2.39
184,saskylakh,RU,71.97,71.97,-21.51,92,96,7.65
185,karlstad,SE,59.38,59.38,35.82,100,100,4.7
186,lufilufi,WS,-13.87,-13.87,87.39,40,74,5.82
187,shumyachi,RU,53.86,53.86,21.51,0,42,6.91
188,rocha,UY,-34.48,-34.48,60.51,100,88,16.31
189,foam lake,CA,51.65,51.65,23.56,100,93,8.63
190,horta,BR,-10.93,-10.93,80.6,20,83,10.29
191,sao filipe,CV,14.9,14.9,74.1,0,81,10.8
192,tiksi,RU,71.64,71.64,-27.17,35,87,9.93
193,tuatapere,NZ,-46.13,-46.13,55.47,100,80,5.08
194,marzuq,YE,14.4,14.4,65.39,58,73,3.51
195,nikolskoye,RU,59.7,59.7,24.57,90,85,4.47
196,kamenka,MD,48.03,48.03,30.0,100,90,3.0
197,pevek,RU,69.7,69.7,3.42,100,77,9.04
198,leningradskiy,RU,69.38,69.38,1.47,88,80,12.46
199,ola,RU,59.58,59.58,-3.46,69,77,13.53
200,ilulissat,GL,69.22,69.22,30.2,50,42,5.82
201,acapulco,MX,16.86,16.86,82.4,20,83,6.93
